Age,Income,MonthlySpending,SessionDuration,PageViewsPerVisit,AccountAge,DeviceType,MembershipTier,PurchaseCategory
29,27.2,388.17,32.3,17.7,29,Mobile,Silver,0
32,38.0,374.73,21.4,9.7,10,Mobile,Basic,4
60,69.1,254.89,45.0,12.2,42,Mobile,Basic,2
25,61.5,311.11,11.1,32.1,31,Mobile,Silver,1
38,76.7,503.35,26.5,17.5,41,Mobile,Gold,0
49,107.8,922.81,16.0,16.2,1,Mobile,Gold,0
54,59.5,196.62,21.2,5.1,33,Tablet,Platinum,0
18,50.4,50.0,17.8,14.9,33,Desktop,Basic,3
32,63.5,143.31,35.9,3.8,12,Mobile,Basic,1
39,78.9,352.94,15.3,8.1,33,Mobile,Basic,2
34,63.4,377.87,30.6,12.4,23,Mobile,Gold,0
18,57.4,145.71,16.1,8.9,13,Desktop,Platinum,4
66,82.6,462.09,15.3,7.4,1,Desktop,Silver,2
40,70.6,446.65,19.5,16.0,33,Desktop,Silver,0
44,66.7,555.11,47.5,14.5,29,Desktop,Basic,0
40,78.9,297.05,26.7,22.3,29,Mobile,Platinum,0
42,80.6,307.36,27.5,10.0,16,Tablet,Gold,0
18,74.0,337.2,23.0,10.8,17,Mobile,Basic,1
31,34.9,391.75,22.6,18.2,16,Mobile,Gold,0
48,70.5,578.94,25.6,20.7,19,Mobile,Platinum,0
19,80.6,268.65,32.2,27.4,8,Desktop,Gold,1
41,63.2,430.17,25.6,7.5,15,Mobile,Platinum,0
49,92.7,440.6,26.9,13.5,40,Desktop,Basic,0
46,59.5,683.82,12.8,23.1,20,Mobile,Basic,0
29,21.0,234.52,19.6,16.4,17,Mobile,Gold,1
49,40.9,235.5,44.2,9.1,55,Desktop,Basic,2
46,100.4,433.38,21.9,14.7,28,Desktop,Platinum,0
39,84.5,318.13,33.1,10.9,1,Mobile,Platinum,1
26,59.4,273.96,41.3,20.5,11,Mobile,Gold,1
40,65.5,352.53,25.7,15.1,30,Mobile,Silver,0
27,69.3,250.26,27.5,25.9,11,Mobile,Basic,1
30,55.7,423.69,28.9,15.0,28,Mobile,Platinum,0
53,68.1,491.75,20.9,10.8,17,Mobile,Basic,0
33,55.4,237.45,15.0,8.8,27,Desktop,Basic,3
31,51.2,302.73,5.0,3.0,11,Desktop,Gold,4
59,30.6,50.0,33.1,13.0,14,Mobile,Silver,2
36,62.5,524.11,5.0,10.7,10,Mobile,Silver,0
43,37.8,456.82,29.5,24.3,18,Desktop,Platinum,0
36,22.5,50.0,38.4,20.0,30,Mobile,Basic,1
54,83.4,491.49,25.1,7.1,40,Desktop,Basic,0
19,51.4,665.26,,22.3,23,Desktop,Silver,0
25,67.6,282.52,14.6,21.0,40,Mobile,Platinum,1
46,79.2,481.43,16.3,16.2,36,Desktop,Silver,0
39,36.7,169.88,18.0,12.3,24,Tablet,Basic,3
38,35.1,281.81,32.4,14.3,18,Mobile,Silver,0
18,53.2,220.16,20.3,19.6,22,Mobile,Silver,1
47,94.5,333.14,26.6,12.7,26,Desktop,Gold,0
38,47.3,131.59,27.9,27.2,3,Mobile,Basic,1
20,40.7,237.64,16.3,14.2,25,Mobile,Silver,1
29,89.6,420.46,21.3,15.2,3,Desktop,Platinum,0
25,60.1,109.8,24.8,12.6,12,Mobile,Basic,4
61,41.3,250.87,37.3,9.6,44,Desktop,Gold,2
50,32.7,157.74,21.4,11.4,19,Desktop,Basic,3
18,45.2,167.06,21.3,15.8,42,Desktop,Basic,3
31,26.5,185.96,24.4,7.8,18,Mobile,Silver,1
46,60.7,131.35,17.7,11.8,38,Mobile,Silver,3
38,98.9,360.51,41.8,12.4,24,Desktop,Basic,0
18,64.1,286.18,26.1,20.0,32,Mobile,Basic,0
18,115.8,494.29,18.8,15.8,26,Desktop,Basic,0
29,66.9,347.06,13.5,15.7,31,Desktop,Gold,0
38,64.3,575.95,14.1,10.5,12,Tablet,Basic,0
46,93.9,523.1,33.6,10.6,28,Desktop,Platinum,0
43,83.6,335.02,24.5,14.2,43,Desktop,Basic,2
24,25.0,480.07,29.9,16.3,1,Mobile,Platinum,0
31,30.6,655.46,16.3,21.3,35,Mobile,Silver,0
36,39.8,290.25,25.2,9.3,1,Mobile,Silver,1
29,88.9,626.02,22.8,13.3,30,Desktop,Basic,0
52,80.0,98.22,21.1,8.5,31,Desktop,Silver,2
30,65.0,622.45,27.4,21.3,27,Mobile,Silver,0
18,55.9,295.09,29.1,15.4,24,Mobile,Basic,4
56,74.2,363.97,31.5,13.3,49,Desktop,Gold,2
43,85.3,380.82,31.1,8.0,37,Tablet,Basic,0
23,80.7,323.23,29.4,14.8,5,Tablet,Silver,0
50,52.3,,28.0,13.6,16,Mobile,Basic,2
56,101.9,245.33,37.7,3.3,12,Tablet,Silver,2
33,35.2,144.13,31.7,11.1,36,Desktop,Basic,2
54,70.8,435.51,27.4,7.3,46,Mobile,Silver,2
33,56.7,387.39,27.8,16.7,13,Mobile,Basic,0
30,96.5,524.46,41.6,20.9,38,Desktop,Silver,0
34,64.0,475.2,32.6,17.5,13,Desktop,Platinum,0
51,40.4,130.83,17.9,9.3,39,Desktop,Basic,3
18,44.2,317.02,35.8,19.4,17,Mobile,Gold,1
49,91.8,580.92,17.3,14.6,20,Desktop,Basic,0
30,88.1,289.47,38.8,10.5,27,Mobile,Platinum,0
43,63.6,577.87,15.2,22.3,24,Mobile,Platinum,0
