Engine_Size,Cylinders,Horsepower,Weight,Acceleration,Model_Year,Origin,Vehicle_Type,MPG
2.8,4,104.0,2762.0,10.0,1978,Europe,Sedan,18.9
2.4,6,160.0,3429.0,10.2,1982,Japan,SUV,17.6
2.1,6,192.0,2380.0,7.8,1980,Japan,Sports,25.1
3.9,8,276.0,4802.0,9.1,1973,USA,Truck,10.0
1.7,6,115.0,2342.0,8.3,1975,Europe,Sedan,21.3
1.4,6,87.0,2332.0,9.6,1974,Japan,Sedan,24.6
3.7,6,240.0,4534.0,9.7,1976,Europe,Truck,10.0
1.7,4,74.0,2502.0,10.1,1975,Europe,Sedan,21.2
3.5,8,267.0,4808.0,9.5,1978,USA,Truck,10.0
4.7,6,291.0,4870.0,9.2,1977,Europe,Truck,10.0
2.4,4,92.0,2722.0,11.3,1977,USA,Sedan,20.6
3.5,8,276.0,3195.0,6.5,1984,USA,Sports,10.0
3.7,6,254.0,2790.0,5.8,1970,Europe,Sports,10.2
3.3,6,227.0,4286.0,10.0,1981,USA,SUV,10.0
3.5,8,287.0,3296.0,7.4,1978,USA,Sports,10.0
2.7,6,129.0,2963.0,,1971,Japan,Sedan,15.1
4.6,8,306.0,4799.0,9.7,1973,Europe,Truck,10.0
2.2,6,132.0,3024.0,11.6,1970,USA,Sedan,10.0
2.6,6,179.0,3659.0,,1979,Japan,SUV,18.7
1.7,4,67.0,2643.0,10.3,1977,USA,Sedan,20.7
1.8,4,71.0,2372.0,9.8,1970,Europe,Sedan,20.0
3.5,8,238.0,3977.0,9.9,1983,Japan,SUV,10.0
4.1,6,260.0,3262.0,6.6,1973,USA,Sports,10.0
4.4,8,282.0,4746.0,7.9,1972,USA,SUV,10.0
4.4,6,250.0,4350.0,10.0,1985,Europe,SUV,10.0
2.2,4,79.0,2520.0,10.7,1973,Japan,Sedan,22.9
1.9,4,76.0,2815.0,10.8,1982,USA,Sedan,19.9
4.4,8,288.0,4423.0,8.9,1982,Europe,SUV,10.0
2.1,6,206.0,2610.0,5.0,1985,USA,Sports,21.2
2.0,4,52.0,2455.0,10.6,1977,Japan,Sedan,25.0
2.3,4,93.0,2862.0,,1976,USA,Sedan,17.5
2.1,4,96.0,2429.0,8.8,1981,USA,Sedan,18.0
5.4,6,304.0,5108.0,9.8,1985,USA,Truck,10.0
4.5,6,267.0,4657.0,9.2,1982,USA,SUV,10.0
2.9,6,156.0,2993.0,10.1,1970,USA,Sedan,10.0
3.0,6,164.0,3074.0,7.6,1972,USA,Sedan,10.0
2.2,6,156.0,3587.0,11.3,1978,Japan,SUV,13.6
2.0,4,79.0,2910.0,,1972,USA,Sedan,17.3
3.5,8,288.0,2857.0,6.3,1973,Europe,Sports,10.0
2.7,6,136.0,2743.0,9.0,1980,Japan,Sedan,21.5
3.7,8,271.0,4366.0,6.8,1978,USA,SUV,10.0
